epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8116,1.67128,4.03872,1.71656,0.00321,0.96154,0.05737,0.04164,1.18757,4.03479,1.48018,0.00018,0.00018,0.00018
2,29.3955,1.34717,2.74455,1.33435,1,0.07991,0.79761,0.49383,0.95624,3.27634,1.03295,0.000372476,0.000372476,0.000372476
3,43.888,1.22925,2.48531,1.25612,0.00333,1,0.8646,0.50351,1.03644,3.45729,1.03565,0.000557032,0.000557032,0.000557032
4,58.2211,1.16128,1.84725,1.16491,0.94759,0.23185,0.94752,0.63789,0.9608,3.10714,0.97427,0.000733668,0.000733668,0.000733668
5,72.899,1.30855,1.97235,1.30732,1,0.08631,0.82893,0.49989,0.90927,3.26,1.06741,0.000902384,0.000902384,0.000902384
6,87.2252,1.14213,1.76959,1.17324,1,0.50404,0.9607,0.67408,0.88968,3.01413,1.11623,0.00106318,0.00106318,0.00106318
7,101.559,1.21442,1.80265,1.27757,0.9762,0.52575,0.93995,0.62901,0.89666,2.97332,1.12419,0.00121606,0.00121606,0.00121606
8,115.775,1.34569,1.99888,1.41045,0.77185,0.62821,0.77334,0.56102,0.94679,3.02591,1.15005,0.00136101,0.00136101,0.00136101
9,130.068,1.26768,1.98076,1.26699,0.71087,0.88261,0.83903,0.57461,0.97109,2.34672,1.16398,0.00149805,0.00149805,0.00149805
10,144.429,1.18612,1.56087,1.2672,0.88436,0.88242,0.94137,0.66557,0.95275,2.33052,1.18438,0.00162716,0.00162716,0.00162716
11,158.656,1.1525,1.49545,1.21824,0.93689,0.95168,0.97759,0.67635,0.97846,1.98919,1.30361,0.001604,0.001604,0.001604
12,173.186,1.06759,1.49953,1.22575,0.97497,0.9359,0.98015,0.68755,0.95846,1.75305,1.26342,0.0015644,0.0015644,0.0015644
13,187.808,1.18799,1.43231,1.25639,0.97329,0.9342,0.98214,0.70266,0.9317,1.68595,1.23308,0.0015248,0.0015248,0.0015248
14,202.206,1.14474,1.42421,1.25146,0.98507,0.96154,0.992,0.7278,0.94566,1.51761,1.26629,0.0014852,0.0014852,0.0014852
15,216.642,1.05881,1.32153,1.22717,0.94903,0.95487,0.98946,0.72667,0.93505,1.47693,1.23832,0.0014456,0.0014456,0.0014456
16,231.06,1.06973,1.31218,1.18174,0.96902,0.96154,0.98838,0.75785,0.85967,1.51094,1.17289,0.001406,0.001406,0.001406
17,245.781,1.14652,1.36188,1.25497,1,0.91812,0.9896,0.79383,0.78806,1.45177,1.12356,0.0013664,0.0013664,0.0013664
18,260.839,1.17046,1.39018,1.29828,0.94518,0.97436,0.98771,0.78022,0.82861,1.49472,1.15325,0.0013268,0.0013268,0.0013268
19,275.693,1.03926,1.24251,1.1937,0.93773,1,0.99263,0.79522,0.80039,1.37006,1.13507,0.0012872,0.0012872,0.0012872
20,290.254,1.08589,1.27689,1.25429,0.94317,0.96154,0.97551,0.76303,0.78826,1.39121,1.13138,0.0012476,0.0012476,0.0012476
21,305.332,1.08795,1.18588,1.2109,0.95919,0.96154,0.978,0.7444,0.85579,1.35351,1.1403,0.001208,0.001208,0.001208
22,320.793,0.99711,1.12388,1.1311,0.97929,0.97436,0.99278,0.80975,0.72669,1.23455,1.07812,0.0011684,0.0011684,0.0011684
23,336.188,0.99715,1.11912,1.16757,0.98485,0.9359,0.99066,0.80211,0.74342,1.26759,1.08905,0.0011288,0.0011288,0.0011288
24,350.746,0.9397,1.10036,1.14145,1,0.91859,0.98654,0.80968,0.7426,1.26185,1.08918,0.0010892,0.0010892,0.0010892
25,365.004,0.88718,1.02072,1.07268,0.98659,0.94354,0.986,0.84411,0.65814,1.18164,1.04206,0.0010496,0.0010496,0.0010496
26,379.579,0.98018,1.02679,1.14597,0.97467,0.98684,0.99304,0.84117,0.65777,1.0776,1.03514,0.00101,0.00101,0.00101
27,393.969,0.94629,1.00852,1.13731,1,0.94728,0.99289,0.8501,0.61134,1.0224,1.0229,0.0009704,0.0009704,0.0009704
28,408.4,0.87669,0.98276,1.13019,0.99655,0.96154,0.99273,0.82161,0.66892,1.02337,1.05255,0.0009308,0.0009308,0.0009308
29,422.853,1.00644,1.07847,1.18577,1,0.9578,0.99209,0.81872,0.69533,1.00921,1.06151,0.0008912,0.0008912,0.0008912
30,437.549,0.90463,0.98843,1.16194,0.98731,0.99722,0.99475,0.84537,0.66405,0.92939,1.0502,0.0008516,0.0008516,0.0008516
31,452.36,0.82982,0.92327,1.10291,0.9739,1,0.99475,0.85204,0.62364,0.90222,1.02317,0.000812,0.000812,0.000812
32,467.02,0.82758,0.93529,1.06373,0.96019,1,0.99412,0.84367,0.61573,0.90071,1.01903,0.0007724,0.0007724,0.0007724
33,482.316,0.79838,0.95528,1.07116,0.99925,0.98718,0.99475,0.8424,0.67159,0.91719,1.03545,0.0007328,0.0007328,0.0007328
34,498.034,0.81529,0.94513,1.09546,0.97996,1,0.99462,0.84447,0.61604,0.91651,0.99303,0.0006932,0.0006932,0.0006932
35,512.774,0.77883,0.83032,1.0427,0.99372,1,0.995,0.86254,0.5533,0.87631,0.95965,0.0006536,0.0006536,0.0006536
36,527.426,0.66178,0.86477,1.00436,0.99544,1,0.995,0.87408,0.531,0.83709,0.95416,0.000614,0.000614,0.000614
37,542.332,0.82558,0.89186,1.10103,1,0.99456,0.995,0.87983,0.50494,0.80499,0.9452,0.0005744,0.0005744,0.0005744
38,556.773,0.76434,0.81041,1.03253,1,0.99468,0.995,0.86727,0.57476,0.80717,0.96866,0.0005348,0.0005348,0.0005348
39,571.437,0.82597,0.83438,1.08462,1,0.9958,0.995,0.86297,0.58975,0.80523,0.96897,0.0004952,0.0004952,0.0004952
40,586.17,0.77712,0.83393,1.0976,1,0.99589,0.995,0.88926,0.51709,0.78251,0.94075,0.0004556,0.0004556,0.0004556
41,600.991,0.64933,0.85332,1.02225,0.99603,0.98718,0.99487,0.9014,0.47637,0.78232,0.92177,0.000416,0.000416,0.000416
42,615.495,0.61006,0.79559,0.98447,1,0.99967,0.995,0.88278,0.50533,0.77969,0.92294,0.0003764,0.0003764,0.0003764
43,629.978,0.67466,0.84317,1.03808,0.99912,1,0.995,0.88704,0.49271,0.79102,0.92251,0.0003368,0.0003368,0.0003368
44,644.83,0.57134,0.82934,1.0102,1,0.9982,0.995,0.89673,0.47107,0.78478,0.91523,0.0002972,0.0002972,0.0002972
45,659.688,0.54213,0.79861,0.98083,0.98723,0.99134,0.99487,0.90611,0.45839,0.77095,0.90883,0.0002576,0.0002576,0.0002576
46,674.239,0.52419,0.76894,0.9586,0.98603,1,0.99462,0.89556,0.48006,0.75436,0.91687,0.000218,0.000218,0.000218
47,688.668,0.54754,0.7412,0.95939,0.99943,1,0.995,0.89723,0.47237,0.74369,0.91378,0.0001784,0.0001784,0.0001784
48,702.9,0.53654,0.75642,0.943,0.99977,1,0.995,0.90252,0.45572,0.72745,0.90591,0.0001388,0.0001388,0.0001388
49,717.508,0.52788,0.73135,0.98383,0.98733,0.99875,0.99437,0.91061,0.43703,0.71148,0.8966,9.92e-05,9.92e-05,9.92e-05
50,732.075,0.53869,0.74861,0.97575,0.98516,1,0.99487,0.91887,0.42032,0.69958,0.88825,5.96e-05,5.96e-05,5.96e-05
